Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
53d979de-8e9e-4293-aed9-4e4b771cd2b9_condition_5.owl_functional.owl,51166941,109548986,160715927
75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs_functional.owl,25958762,6807646,32766408
approximated_c65713cb-5f43-44ce-86f2-9c20bf6530ae_IBM_801.rdf_functional.owl,19287382,5497694,24785076
approximated_7f287dc9-bdce-4650-9c6a-da3d089e72ae_Diptych.rdf_functional.owl,15886961,3887889,19774850
approximated_1f131286-0fa9-43e8-a0fb-b7798b7c1476_sasclasses.owl_functional.owl,13380008,1722449,15102457
147cbe7c-d161-4214-8ced-0f838c6d33f7_onto.rdf_functional.owl,19918172,4285716,24203888
approximated_02024966-c8c7-4345-b30b-844ca0bdf8f5_lipid.owl_functional.owl,195436600,337838348,533274948
approximated_kb-owl-syntax-unraveled-depth-4-triggers-constant-classes-relation-axioms-value-classes.ofn_functional.owl,349973922,888919312,1238893234
approximated_c759adb9-1701-429f-aec5-7bda663d10c5_WM30.owl_functional.owl,94887439,40578265,135465704
approximated_fa9611cd-15ed-46e5-8c7c-12e5fa3019d1_ocChemical.owl_functional.owl,136544460,206490166,343034626
approximated_ecdbec75-3dca-4adc-8ecb-7ab59223f896_que_wrench.rdf_functional.owl,11308085,4522295,15830380
approximated_37fa1851-5aae-4f1e-8f87-3a963d31f52a_ecrm_101001.owl_functional.owl,26500426,21057770,47558196
approximated_9a37417e-e497-4e4a-b02a-286d68cca3cf_ry20130324.owl_functional.owl,12002695,5223911,17226606
approximated_00319.owl_functional.owl,30705335,16654384,47359719
approximated_1943f3e0-e02b-43c4-8be0-887c00c50be2_odSolutions.owl_functional.owl,22714686,18731066,41445752
approximated_1e544f4f-62b0-403e-975f-cc6e46b323f3_ology_6508.rdf_functional.owl,14113794,3827650,17941444
approximated_82328b8a-70c3-452d-a0d2-411f97f022f3_Guarana.ttl_functional.owl,17938718,4209695,22148413
approximated_6e432d68-c034-4bee-b4be-a09d8639258d_swadchart.rdf_functional.owl,19539655,1893316,21432971
43ab106b-7603-4227-98c6-11076e559f15_biochebi.owl_functional.owl,4107126726,7620996510,11728123236
approximated_b63e65f5-3268-4847-b875-1facaa30a8ff_olate_cake.ttl_functional.owl,90466937,5321070,95788007
approximated_36ba3ae1-5cfd-4236-8065-31a467167b24_Assessment.owl_functional.owl,271496822,249085590,520582412
approximated_8bbf5afc-49e5-4909-90ac-c81447199582_OceanFloor.owl_functional.owl,461646572,240823392,702469964
approximated_3f281d93-288b-408e-b2b0-f59336017907_onto.rdf_functional.owl,29355286,9067212,38422498
e84667ab-aa59-43dd-a59b-fa01a7935389_xmfprotein.owl_functional.owl,39509293,9333149,48842442
68a3b126-681c-4a19-9f9a-d11a344cb62f_enotype_xp.owl_functional.owl,96373995,29809142,126183137
approximated_155783bc-563f-4401-9be5-4d331c36fe4c_930_v0.930.owl_functional.owl,18461041,28254930,46715971
approximated_0a3291d6-4084-4c87-bd3a-8a71974c331a_iconductor.ttl_functional.owl,12540763,3937786,16478549
approximated_kb-owl-syntax-coreference-IDs-cardinalities-constant-classes-relation-axioms-value-classes.ofn_functional.owl,613268671,1758736348,2372005019
approximated_c5d1a38e-60bf-4925-b4fc-56585d6dda13_ompoundCFC.owl_functional.owl,33857810,41671377,75529187
1cb603d0-4461-48b7-b7c5-ffe0cb8133db_i_of_the_Month_functional.owl,21817935,1680836,23498771
approximated_0eefc452-cedb-4f53-917b-aaa953367334_r_airplane.rdf_functional.owl,17988782,4877733,22866515
approximated_b5252068-269d-48bf-ab98-8fa7d930e944_iao.owl_functional.owl,11048762,7068421,18117183
approximated_lipro.lipid-ontology.3.owl.xml_functional.owl,41775477,78222602,119998079
approximated_a720fd8d-fed6-4c34-af00-aee3dc02ab24_M820070115.owl_functional.owl,140746556,241027260,381773816
approximated_19236968-0ae2-4fc9-b885-f8fca6435bc2_Gold_leaf.ttl_functional.owl,16451519,4909493,21361012
