Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0463b024-7835-4951-b38d-8c1883a37aa3_Governor.owl_functional.owl	806945586	217232651
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0467fba4-c072-48bc-9c80-86db50415771_eo.owl_functional.owl	856946879	222713039
/media/uoa/Data1/ore2014_dataset/ClassificationEL/047ccf0a-9286-49a2-89fc-caa3a79a1ec4_e.obo.PREVIOUS_functional.owl	931183191	315434381
/media/uoa/Data1/ore2014_dataset/ClassificationEL/047db972-b42a-4b07-a9f8-350a25946255_manprotege.owl_functional.owl	985964689	468382658
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04c27412-1ec9-4ca3-8d7b-4af522de50b2_doid.obo_functional.owl	1003416256	357405013
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04e99da3-9bae-4ba0-9acb-95f4d5a78ada_er_anatomy.obo_functional.owl	904180239	352912904
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0533595c-ead5-40f5-a57d-39f8bfd69a04_KategorieNerven_functional.owl	768864900	224834489
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0549632b-d4db-47ad-a816-fe960fbab57d_Cardinal.owl_functional.owl	799736926	249438732
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0552ebca-2b2f-4d14-af4a-9ffaac6a5159_HAO_functional.owl	1171835735	547011344
/media/uoa/Data1/ore2014_dataset/ClassificationEL/055a02d0-c468-4729-ab70-d301b0c99c21_sgenechrom.owl_functional.owl	1394914440	551296292
/media/uoa/Data1/ore2014_dataset/ClassificationEL/055e9980-d5ac-484f-bfcc-b62b0135b80f_imr.obo_functional.owl	1171706838	420410075
/media/uoa/Data1/ore2014_dataset/ClassificationEL/057f47fd-45a4-4f88-8f5b-fad1a26b4c24_mmo.owl_functional.owl	821557179	220084069
/media/uoa/Data1/ore2014_dataset/ClassificationEL/059be0e8-6a11-4a6f-9e21-52b393d60feb_a_ontology.obo_functional.owl	772484124	192600801
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl	2293970223	815511388
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05d1a3f4-fee8-4bfb-8324-c32403f9fbb4_Band.owl_functional.owl	791003038	218451762
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl	815248514	187161074
/media/uoa/Data1/ore2014_dataset/ClassificationEL/060d1a69-aeaa-4b91-996a-628b2efa9d60_ry_biology.owl_functional.owl	780001620	192342007
/media/uoa/Data1/ore2014_dataset/ClassificationEL/061c8c2c-c09b-4496-9ffb-16118b5507f7_Aircraft.owl_functional.owl	793954758	273824676
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0631b0c3-b2cf-4880-b128-dc263545fe81_eHexenprozesse_functional.owl	776888685	217697671
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06351fae-998e-422e-977e-0c25d1a6c730_Cyclist.owl_functional.owl	784779665	262583610
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06374a6b-539e-498c-999d-be0f044cece0_PropertyEditor_functional.owl	755377406	222923588
/media/uoa/Data1/ore2014_dataset/ClassificationEL/066043ed-e67a-4576-86e5-6440bb9a3a7f_hpmerged.obo_functional.owl	1118116546	440872169
/media/uoa/Data1/ore2014_dataset/ClassificationEL/066a6af7-677d-4204-9839-23a6730c2d35_nt.obo.CURRENT_functional.owl	787175895	225228676
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0683ced9-e79f-4bc7-a75a-b2c425cdae5d_go.obo_functional.owl	1915045564	1536495697
/media/uoa/Data1/ore2014_dataset/ClassificationEL/069b23e0-2d3c-4532-af90-4a36ad576dc5_zoology.rdf_functional.owl	766735656	229331685
/media/uoa/Data1/ore2014_dataset/ClassificationEL/069be1c1-0d67-4042-8e3e-bbc9ec34a6f6_REX.obo_functional.owl	814197661	244581318
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06a405d6-f348-4ba3-a8ad-bd66210fa433_us.owl_functional.owl	797683717	206663412
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl	914383498	447219774
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06cc1275-8160-4da6-966f-a2b135d920f9_hp.obo_functional.owl	1161455148	479091650
/media/uoa/Data1/ore2014_dataset/ClassificationEL/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl	815422784	206933188
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0707be50-bd13-400e-9664-5a058bfeac93_umls.owl_functional.owl	748127435	189746554
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0721d520-f07e-45cf-8585-5ec1737e60ba_onto.rdf_functional.owl	807091892	206901513
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0724ea7f-e9b2-460f-b5ab-85a868f64b2d_onto.rdf_functional.owl	745230940	211735558
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0745dbda-5142-45d6-8411-2142bc784aaa_fyposimple.obo_functional.owl	931934010	361499859
/media/uoa/Data1/ore2014_dataset/ClassificationEL/074906cd-79f6-4a9b-8d0e-bded0ff3ca48__phenotype.obo_functional.owl	1075358109	450112821
/media/uoa/Data1/ore2014_dataset/ClassificationEL/074e7838-965c-4a62-9133-e5615249d0e2_s_musculus.obo_functional.owl	1159722854	446714194
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07755c88-21b7-4e1b-9117-55743e7d9690_spd.obo_functional.owl	834323238	235442950
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0778f4da-24b9-4412-b670-0db67ab2ed93_FYPO.obo_functional.owl	920459789	410826463
/media/uoa/Data1/ore2014_dataset/ClassificationEL/077c8aaf-3813-4cec-b2a4-cdf6c82366e2_inalistype.owl_functional.owl	1233512318	450474659
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0780c1cc-9351-42a5-b0c6-21204bccf8df_classified.obo_functional.owl	2180417873	1348360126
/media/uoa/Data1/ore2014_dataset/ClassificationEL/078c7631-2408-417a-97da-4de176307c68_n_xp_chebi.obo_functional.owl	1156771423	511378409
/media/uoa/Data1/ore2014_dataset/ClassificationEL/078c8a5e-888d-43f8-974c-07fa5824676d_FBbt.obo_functional.owl	1316487578	661932439
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07a17151-c37f-4e93-9e65-2c459e27183c_EBI_import.owl_functional.owl	812288821	228105668
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07b4edf0-5daa-4233-9f6d-d25487c600e3__phenotype.obo_functional.owl	1104920714	492444339
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07b96969-c53e-4563-b6fa-496d0371de6f_nent_xp_go.obo_functional.owl	829607250	232121905
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07dbe207-ab0b-4570-8579-04296a7bc115_ernational.rdf_functional.owl	771927923	224094201
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07e9ab44-2a8a-4515-8de8-db2dd70302d8_go.obo.CURRENT_functional.owl	871013273	254050595
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07f1dd31-69eb-4bfd-9d85-4dbcc9104246_event.obo_functional.owl	980270486	361561392
/media/uoa/Data1/ore2014_dataset/ClassificationEL/07fccd6f-2fdc-4c5f-aee6-1edd6611d2d5_EbGdrcN5Y29ycA_functional.owl	895273284	302637717
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08308ae2-7078-45f8-8553-d3be59a03175_ratebridge.owl_functional.owl	1187154252	462735214
/media/uoa/Data1/ore2014_dataset/ClassificationEL/085b1f67-63ec-4cab-95e9-3edf96c30fa1_eriofamily.owl_functional.owl	1377592175	519016361
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08691c7a-7b0a-4db8-b8d8-5cf046b5235e_envo.owl2_functional.owl	845653362	277309740
/media/uoa/Data1/ore2014_dataset/ClassificationEL/086afcb9-d836-44bf-8a44-1c999b2ebdc0_spergillus.obo_functional.owl	789427847	193148748
/media/uoa/Data1/ore2014_dataset/ClassificationEL/086bc8fe-9648-4f9c-973e-88f33d5392a1_gastertype.owl_functional.owl	1256206176	480573041
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08978b2b-04da-4d85-bf76-32127e4ea6e1_animals.owl_functional.owl	797942500	214432161
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08a4ecab-f8ce-4717-8f16-46c4a9ac8177_ontology_7.owl_functional.owl	788393044	228291723
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08af329b-613b-4c0f-b1dc-7883581ffe98_sbf.owl_functional.owl	827852027	212870264
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08c18558-c391-4b1f-84c6-3631d00c948f_protlabels.owl_functional.owl	987830005	344068814
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08d5f44e-5e8d-498f-ab9c-ecdc7d27565e_evelopment.obo_functional.owl	785070834	212266533
/media/uoa/Data1/ore2014_dataset/ClassificationEL/08fc4b78-455f-4ee3-a8a6-4ff94288ff40_ish_label.rdfs_functional.owl	780348816	210363149
/media/uoa/Data1/ore2014_dataset/ClassificationEL/091b5a2b-42d5-4e62-ad9c-accc5776e016__april2007.rdf_functional.owl	810662017	229948112
/media/uoa/Data1/ore2014_dataset/ClassificationEL/091e00db-b909-4856-a8e6-b37221827fd2_ss_xp_self.obo_functional.owl	826653586	255898259
/media/uoa/Data1/ore2014_dataset/ClassificationEL/092612bc-e768-4ecf-b6f1-0f9ba6735033_ss_xp_cell.obo_functional.owl	854832108	290632481
/media/uoa/Data1/ore2014_dataset/ClassificationEL/09d2807f-d8a1-4e15-8fbe-d15627f469e7_a_symptom.owl2_functional.owl	891867336	223544231
/media/uoa/Data1/ore2014_dataset/ClassificationEL/09d9eca5-e016-4f66-8f16-bee1ec386eb1_protlabels.owl_functional.owl	823153332	213956630
/media/uoa/Data1/ore2014_dataset/ClassificationEL/09e56d2d-e978-40b2-ae38-7571c5bd69ae_instrument.owl_functional.owl	773007658	194266440
/media/uoa/Data1/ore2014_dataset/ClassificationEL/09e75e49-a3b6-4326-b42b-15b53069176c_ezeichnungen_P_functional.owl	764717787	211717012
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a0136fd-cd88-41a6-a3da-83380dc0af18_Heilpflanzen_E_functional.owl	774397501	209523402
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl	758783343	211750429
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a331e49-6855-471e-b7c3-0a1d751be064_anatstaged.obo_functional.owl	1179776219	434293203
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a435c56-b3a2-4a6d-85ed-aec812144793_nt_anatomy.obo_functional.owl	786080979	217406416
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a47680d-68aa-4f76-ac23-b7995492295d_Park.owl_functional.owl	815396922	263376333
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a79395c-92c6-4b9f-99f1-c25649174dac_fma.owl_functional.owl	2446642942	2619740976
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a96c099-bca4-45f3-bc94-cda47e8f61f6_evelopment.obo_functional.owl	743071389	197606039
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0a9b7b1f-dc5c-4cfd-805f-823372be8a47_ameNet_1.1.owl_functional.owl	944448142	478464042
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0aa1fe44-aa68-4088-986b-2c97f5acd5d7_nverzeichnis_J_functional.owl	745451146	213255452
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0ac0f77a-ec1d-460a-b067-63ba73944411_cogat_v0.3.owl_functional.owl	807245486	218333675
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0ada0275-aacc-4314-b611-4b8ab4bcdd2a_henotype_xp_go_functional.owl	811315737	262442368
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0af29ac5-5fb2-4428-8332-bdb75fab5b0c_vario.owx_functional.owl	793206908	230895930
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b0a4e5b-d23f-43b7-8058-799c8125e251_rySample_pages_functional.owl	789626564	222144129
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b13099f-0f58-4c6e-9b97-a002fa5d93d4_wbls.owl_functional.owl	834426911	208729905
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b23c217-9a9d-430a-84a5-b5420dcbbd10_hp.owl_functional.owl	1160347614	552128596
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b269d8d-1c50-45ce-ae4b-60a46714d203_classified.obo_functional.owl	1337624891	507279349
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b3204d4-768b-4e1f-b8a6-33d629d5ae91_xaosimple.obo_functional.owl	925717478	431877846
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0b5efdd0-bef2-4f27-a031-8e791655a953_psims.obo_functional.owl	943944734	299760114
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0ba9ffc7-2227-4d7e-8549-110122c9017e_PSIMOD.obo_functional.owl	918572510	308605790
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0be7640e-1f36-4db5-b96d-26eae0df6e31_onto.rdf_functional.owl	779636662	229962517
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0bfc3bd6-41f4-4d29-95fe-6e72a34ec3e4_visiaetype.owl_functional.owl	1038875239	382760045
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0c593ec0-1894-4be9-9277-02fe59d42a49_mod.obo_functional.owl	880348562	300222714
