Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02544518-4782-4794-93b8-2b7556fbdab3_agrovoc.owl_functional.owl	1442257356	1251898952
/media/uoa/Data1/ore2014_dataset/ClassificationEL/026f5d10-35d6-4928-97bf-7e74282f3e7c_velopment.owl2_functional.owl	826131904	478913239
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02848000-8a45-4114-a9ea-0b062dcc27b4_sh_anatomy.obo_functional.owl	1093094526	1040826780
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0289874e-4b78-4e47-b349-bf866a9c1044_er_anatomy.owl_functional.owl	956620938	737440962
/media/uoa/Data1/ore2014_dataset/ClassificationEL/028f4d47-8b9f-4408-9f32-f64909152c1c_onto.rdf_functional.owl	758603183	159897936
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a11281-47b3-484f-b817-e052aa0926f5_ogyProtege.owl_functional.owl	1164795953	1253126845
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a1b623-a63b-425e-bb23-789e98a33591_ss_xp_self.obo_functional.owl	866032940	497472279
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02a93afd-d26b-46b4-8c27-158c0cff8f63_loggerhead.owl_functional.owl	805149474	291258416
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02aabb7a-7881-4639-9ec6-c0bf1722e0b5_flanzenatlas_K_functional.owl	780064685	-45612749970498
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02ab3076-f809-4d05-9a69-773b08f2b1a6_ehdaa2.owl_functional.owl	1077035514	1290804910
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02b17082-5f51-41ee-8750-74f7c79c3026_Actor.owl_functional.owl	802377276	185504577
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02bf5bf4-13c5-417b-88cc-f8f4a06f59c1_zz.owl_functional.owl	779003942	284719889
/media/uoa/Data1/ore2014_dataset/ClassificationEL/02ce1c5e-99f2-4209-abfa-4ab6055ebc99_flanzenatlas_H_functional.owl	770850569	-45618459485182
/media/uoa/Data1/ore2014_dataset/ClassificationEL/031191c6-b4f6-46b7-bc5d-4755e3836523_fbspsimple.owl_functional.owl	1008834865	1475508118
/media/uoa/Data1/ore2014_dataset/ClassificationEL/032ec1a0-864c-48d8-b381-cf2a152ec49a_oc.obo.CURRENT_functional.owl	816001621	312421177
/media/uoa/Data1/ore2014_dataset/ClassificationEL/033a534e-490c-4caf-a5a2-1ba8f4b0ff19_onto.rdf_functional.owl	796731538	161101967
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03450d8d-e27b-4763-b000-6129473bfff4_mp.obo_functional.owl	1126565707	1174576548
/media/uoa/Data1/ore2014_dataset/ClassificationEL/034c7b8c-06dd-4c6f-b1b4-1ce3e84c9b07_PW.obo_functional.owl	817541344	356861630
/media/uoa/Data1/ore2014_dataset/ClassificationEL/034dfba3-de08-41c0-a828-1e4fd9ffacfa_ct.obo.CURRENT_functional.owl	925308536	550002775
/media/uoa/Data1/ore2014_dataset/ClassificationEL/035dec2d-84f6-44cd-9ea2-cc909cf701b2_p.obo.PREVIOUS_functional.owl	833600044	417370358
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03aca579-e70f-47ec-a5d4-5a80624e1ab0_1_inferred.owl_functional.owl	942557118	1646907917
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03b7d71f-8d52-4d70-8000-9209ef0958dc_LIQO_ver1.0.owl_functional.owl	898640818	801174683
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03d08800-8a69-4aa1-9857-90813d251be8_imitive1.0.owl_functional.owl	821840059	172219220
/media/uoa/Data1/ore2014_dataset/ClassificationEL/03e89000-6869-4c1c-95dc-bd069b154b3a_classified.owl_functional.owl	844592278	324449472
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04096b24-000d-4d49-94bc-1ee51d41f07e_ontoderm.owl_functional.owl	855741386	317166765
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0431efde-8b36-4395-9dfd-2cec62ded032_y.obo.PREVIOUS_functional.owl	880404490	573682974
